2022-06-04 23:07:53.547 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 23:07:53.948 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-06-04 23:07:53.970 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-06-04 23:07:53.985 [main] INFO  com.whalefall.learncases.LearncasesApplication - Started LearncasesApplication in 2.839 seconds (JVM running for 4.218)
2022-06-04 23:08:16.033 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-04 23:08:16.034 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-06-04 23:08:16.035 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-06-04 23:08:16.199 [http-nio-8080-exec-1] INFO  c.w.l.valid.customvalid.ValidatedPhoneController - 123145123123
2022-06-04 23:08:27.607 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 23:08:27.617 [main] INFO  com.whalefall.learncases.LearncasesApplication - Starting LearncasesApplication using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 13272 (C:\Users\chenglong\Desktop\learncases\target\classes started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 23:08:27.617 [main] INFO  com.whalefall.learncases.LearncasesApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-04 23:08:29.137 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-04 23:08:29.149 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-04 23:08:29.149 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-04 23:08:29.149 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-04 23:08:29.334 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-04 23:08:29.350 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1662 ms
2022-06-04 23:08:29.435 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 23:08:29.814 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-06-04 23:08:29.820 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-06-04 23:08:29.836 [main] INFO  com.whalefall.learncases.LearncasesApplication - Started LearncasesApplication in 3.039 seconds (JVM running for 4.582)
2022-06-04 23:08:31.655 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-04 23:08:31.655 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-06-04 23:08:31.655 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-06-04 23:08:31.824 [http-nio-8080-exec-1] INFO  c.w.l.valid.customvalid.ValidatedPhoneController - 123145123123
2022-06-04 23:09:37.953 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 23:09:37.973 [main] INFO  com.whalefall.learncases.LearncasesApplication - Starting LearncasesApplication using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 3456 (C:\Users\chenglong\Desktop\learncases\target\classes started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 23:09:37.973 [main] INFO  com.whalefall.learncases.LearncasesApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-04 23:09:39.238 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-04 23:09:39.254 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-04 23:09:39.254 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-04 23:09:39.254 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-04 23:09:39.455 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-04 23:09:39.455 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1418 ms
2022-06-04 23:09:39.956 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-06-04 23:09:39.978 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-06-04 23:09:39.978 [main] INFO  com.whalefall.learncases.LearncasesApplication - Started LearncasesApplication in 2.756 seconds (JVM running for 4.229)
2022-06-04 23:09:42.021 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
